Date,Open,High,Low,Close,Adj Close,Volume
10/2/2023,140.039993,141.449997,139.860001,140.800003,136.607208,3275300
10/3/2023,140.869995,141.639999,140,140.389999,136.209412,3284400
10/4/2023,140.369995,141.199997,139.990005,141.070007,136.869171,2637600
10/5/2023,140.899994,141.699997,140.190002,141.520004,137.305771,3223900
10/6/2023,141.399994,142.940002,140.110001,142.029999,137.800568,3511100
10/9/2023,142.300003,142.399994,140.679993,142.199997,137.965515,2354400
10/10/2023,142.600006,143.419998,141.720001,142.110001,137.878204,3015800
10/11/2023,142.509995,143.339996,142.139999,143.229996,138.964828,2511500
10/12/2023,142.509995,142.929993,140.949997,141.240005,137.034103,3921100
10/13/2023,139.770004,140.119995,138.270004,138.460007,134.336899,4582800
10/16/2023,139.279999,139.779999,138.520004,139.210007,135.06456,3361500
10/17/2023,137.119995,140.619995,136.309998,140.320007,136.141495,4172800
10/18/2023,140,140.429993,139.580002,139.970001,135.80191,3330000
10/19/2023,138.639999,139.410004,137.929993,138.009995,133.900269,5314200
10/20/2023,138.149994,139.270004,137.119995,137.160004,133.075592,4865300
10/23/2023,136.630005,137.679993,135.869995,136.380005,132.318832,3457500
10/24/2023,136.740005,137.979996,136.050003,137.789993,133.686829,3698000
10/25/2023,137.5,138.490005,136.330002,137.080002,132.997986,6472500
10/26/2023,142.199997,144.410004,141.580002,143.759995,139.47905,11130200
10/27/2023,143.619995,144.699997,141.710007,142.520004,138.275986,5469200
10/30/2023,143.190002,144.5,142.580002,142.630005,138.382721,4204100
10/31/2023,143,144.759995,142.589996,144.639999,140.33284,6591800
11/1/2023,145,146.509995,144.449997,145.399994,141.070206,4750100
11/2/2023,145.770004,147.100006,144.839996,147.009995,142.632263,3902700
11/3/2023,147.449997,148.449997,147.279999,147.899994,143.495758,3510100
11/6/2023,147.889999,149.229996,147.850006,148.970001,144.53392,4597200
11/7/2023,149.029999,149.279999,148.029999,148.830002,144.398087,3549900
11/8/2023,149.25,149.679993,147.589996,148.029999,143.621902,3618600
11/9/2023,146.550003,146.990005,145.279999,146.619995,143.867218,3412700
11/10/2023,147.440002,149.169998,146.850006,149.020004,146.222168,3179000
11/13/2023,148.460007,148.490005,147.350006,148.100006,145.319427,2647200
11/14/2023,149.449997,150.809998,149.050003,150.410004,147.58606,4321900
11/15/2023,150.399994,153.220001,150.399994,152.580002,149.715317,4632500
11/16/2023,153,153.350006,152.130005,153.059998,150.186295,3519200
11/17/2023,153.289993,153.5,152.460007,152.889999,150.019501,4426500
11/20/2023,152.509995,154.679993,152.350006,154.350006,151.452087,3658500
11/21/2023,154.600006,154.660004,153.509995,153.910004,151.020355,2859500
11/22/2023,154.5,155.710007,154.160004,155.130005,152.217453,3044700
11/24/2023,155.130005,155.399994,153.919998,155.179993,152.266479,1799200
11/27/2023,154.990005,156.139999,154.75,155.570007,152.649185,4053100
11/28/2023,155.440002,155.75,154.860001,155.649994,152.727676,2666200
11/29/2023,156.149994,157.509995,156.020004,156.410004,153.473404,3568900
11/30/2023,156.949997,158.600006,156.889999,158.559998,155.583038,6740600
12/1/2023,158.410004,160.589996,158,160.550003,157.535675,4871000
12/4/2023,160.289993,162.789993,160.289993,161.100006,158.075363,5779000
12/5/2023,160.759995,162.470001,160.720001,161.389999,158.359909,4556700
12/6/2023,161.589996,162.350006,160.009995,160.279999,157.270737,3555900
12/7/2023,161,161.470001,159.970001,160.220001,157.211868,3665500
12/8/2023,160,162.039993,160,161.960007,158.919205,4560400
12/11/2023,162.679993,163.649994,161.949997,163.509995,160.440094,6077200
12/12/2023,163.270004,166.339996,162.919998,164.710007,161.617569,5292300
12/13/2023,164.369995,164.970001,162.740005,163.619995,160.548035,4989100
12/14/2023,162.929993,163.5,160.149994,162.910004,159.851364,6129800
12/15/2023,162.300003,164.089996,162.039993,162.229996,159.184128,11015600
12/18/2023,162.229996,163.330002,161.580002,162.740005,159.684555,3677300
12/19/2023,161.800003,162.279999,161.320007,161.559998,158.526718,3766600
12/20/2023,161.289993,161.800003,160.009995,160.050003,157.045059,4865800
12/21/2023,160.589996,161.080002,159.529999,160.779999,157.761353,2982900
12/22/2023,161.100006,162.410004,161,162.139999,159.095825,2439800
12/26/2023,162.229996,163.309998,162.050003,163.210007,160.145737,1772400
12/27/2023,163.139999,163.639999,162.679993,163.460007,160.391052,3234600
12/28/2023,163.960007,163.960007,163.399994,163.75,160.675598,2071300
12/29/2023,163.75,164.179993,162.830002,163.550003,160.479355,2525600
1/2/2024,162.830002,163.289993,160.460007,161.5,158.467834,3825000
1/3/2024,161,161.729996,160.080002,160.100006,157.094131,4086100
1/4/2024,160.220001,161.809998,160.169998,160.860001,157.839859,3212000
1/5/2024,159.910004,160.550003,158.669998,159.160004,156.171783,4199400
1/8/2024,158.690002,161.220001,157.889999,161.139999,158.114594,3321700
1/9/2024,160,160.479996,159.509995,160.080002,157.074509,2617200
1/10/2024,160.279999,161.339996,159.740005,161.229996,158.202896,2967800
1/11/2024,161.020004,162.229996,160.289993,162.160004,159.115448,3778200
1/12/2024,162.970001,165.979996,162.350006,165.800003,162.687103,4956400
1/16/2024,165.800003,167.25,165.339996,166.960007,163.825333,4869600
